Processed by,Date,ID #,FL,FL (Label if different from data sheet),Weight,Weight in field,Fullness,Digestion,Damp wt,Empty wt,Prey taxa,,LH,Count,Wt,Stomach broken/damaged,Comments,REF,QA,Inventory,Total Contents Wt
as,4/12/2016,2013-081S,43,,0.228,,5,5,0.0082,,Pseudodiaptomus forbesi,Calanoida,copepodid,4,0.0001,,,,,,
as,4/12/2016,2013-081S,43,,0.228,,5,5,0.0082,,Corophiidae,Amphipoda,unidentified,1,0,,,,,,
as,4/12/2016,2013-080S,35,,0.0984,,2,6,0.003,,Sinocalanus doerrii,Calanoida,adult,1,0,,,,,,
as,4/12/2016,2013-080S,35,,0.0984,,2,6,0.003,,Pseudodiaptomus forbesi,Calanoida,male,2,0,,,,,,
as,4/12/2016,2013-079S,32,,0.0914,,6,5,broken,,Pseudodiaptomus forbesi,Calanoida,female,15,0.0004,,,,,,
as,4/12/2016,2013-079S,32,,0.0914,,6,5,broken,,Pseudodiaptomus forbesi,Calanoida,male,14,0.0007,,,,,,
as,4/12/2016,2013-079S,32,,0.0914,,6,5,broken,,Pseudodiaptomus forbesi,Calanoida,copepodid,3,0,,,,,,
as,4/12/2016,2013-079S,32,,0.0914,,6,5,broken,,Sinocalanus doerrii,Calanoida,adult,11,0.0004,,,,,,
as,4/12/2016,2013-077S,32,,0.104,,3,5,0.003,,Pseudodiaptomus forbesi,Calanoida,copepodid,2,0,,,,,,
as,4/12/2016,2013-077S,32,,0.104,,3,5,0.003,,Pseudodiaptomus forbesi,Calanoida,male,4,0.0001,,,,,,
as,4/12/2016,2013-077S,32,,0.104,,3,5,0.003,,Pseudodiaptomus forbesi,Calanoida,female,3,0,,,,,,
as,4/12/2016,2013-078S,41,,0.2194,,3,4,0.0038,,Pseudodiaptomus forbesi,Calanoida,female,2,0,,,,,,
as,4/12/2016,2013-078S,41,,0.2194,,3,4,0.0038,,Pseudodiaptomus forbesi,Calanoida,male,5,0.0002,,,,,,
as,4/12/2016,2013-078S,41,,0.2194,,3,4,0.0038,,Pseudodiaptomus forbesi,Calanoida,copepodid,2,0,,,,,,
as,4/12/2016,2015-015S,35,,0.1299,,5,3,0.0036,,Unidentified matter,,,,0.0003,,,,,,
as,4/12/2016,2015-015S,35,,0.1299,,5,3,0.0036,,Pseudodiaptomus forbesi,Calanoida,male,20,0.0003,,,,,,
as,4/12/2016,2015-015S,35,,0.1299,,5,3,0.0036,,Pseudodiaptomus forbesi,Calanoida,female,7,0,,,,,,
as,4/12/2016,2015-015S,35,,0.1299,,5,3,0.0036,,Pseudodiaptomus forbesi,Calanoida,copepodid,12,0.0001,,,,,,
as,4/12/2016,2013-084S,40,,0.1452,,1,1,0.0015,,Empty,,,,,,,,,,
as,4/12/2016,2013-076S,37,,0.1148,,2,5,broken,,Pseudodiaptomus forbesi,Calanoida,male,2,0,,,,,,
as,4/12/2016,2013-076S,37,,0.1148,,2,5,broken,,Pseudodiaptomus forbesi,Calanoida,female,1,0,,,,,,
as,4/12/2016,2013-076S,37,,0.1148,,2,5,broken,,Pseudodiaptomus forbesi,Calanoida,copepodid,2,0,,,,,,
as,4/12/2016,2015-016S,33,,0.1246,,1,1,0.0026,,Empty,,,,,,,,,,
as,4/12/2016,2013-075S,38,,0.1298,,,,broken,,,,,,,broken,"Dried out, not identifiable",,,,
as,4/12/2016,2013-083S,41,,0.1447,,1,1,0.0019,,Empty,,,,,,,,,,
as,4/12/2016,2013-082S,32,,0.0811,,1,1,0.0003,,Empty,,,,,,,,,,
as,4/13/2016,2015-013S,34,,0.0879,,1,1,0.0023,,Pseudodiaptomus forbesi,Calanoida,female,2,0,,,,,,
as,4/13/2016,2015-013S,34,,0.0879,,1,1,0.0023,,Pseudodiaptomus forbesi,Calanoida,male,3,0.0001,,,,,,
as,4/13/2016,2013-046S,38,,0.1007,,1,1,0.0016,,Empty,,,,,,,,,,
as,4/12/2016,2013-058S,32,,0.117,,1,1,0.0014,,Empty,,,,,,,,,,
as,4/12/2016,2013-064S,37,,0.0954,,1,1,broken,,Empty,,,,,broken,,,,,
as,4/13/2016,2013-052S,34,,0.1034,,5,4,0.0047,,Pseudodiaptomus forbesi,Calanoida,copepodid,5,0,,,,,,
as,4/13/2016,2013-052S,34,,0.1034,,5,4,0.0047,,Pseudodiaptomus forbesi,Calanoida,male,21,0.0002,,,,,,
as,4/13/2016,2013-052S,34,,0.1034,,5,4,0.0047,,Pseudodiaptomus forbesi,Calanoida,female,8,0.0002,,,,,,
as,4/13/2016,2013-052S,34,,0.1034,,5,4,0.0047,,Unidentified matter,,,,0.0003,,,,,,
as,4/13/2016,2013-052S,34,,0.1034,,5,4,0.0047,,Sinocalanus doerrii,Calanoida,adult,3,0,,,,,,
as,4/13/2016,2013-052S,34,,0.1034,,5,4,0.0047,,Sinocalanus doerrii,Calanoida,copepodid,2,0,,,,,,
as,4/12/2016,2013-070S,39,,0.1585,,4,5,0.0053,,Pseudodiaptomus forbesi,Calanoida,female,6,0.0003,,,,,,
as,4/12/2016,2013-070S,39,,0.1585,,4,5,0.0053,,Pseudodiaptomus forbesi,Calanoida,male,8,0.0002,,,,,,
as,4/12/2016,2013-070S,39,,0.1585,,4,5,0.0053,,Pseudodiaptomus forbesi,Calanoida,copepodid,7,0,,,,,,
as,4/12/2016,2015-012S,33,,0.1018,,4,5,broken,,Pseudodiaptomus forbesi,Calanoida,female,13,0.0003,,,,,,
as,4/12/2016,2015-012S,33,,0.1018,,4,5,broken,,Pseudodiaptomus forbesi,Calanoida,male,14,0.0003,,,,,,
as,4/12/2016,2015-012S,33,,0.1018,,4,5,broken,,Pseudodiaptomus forbesi,Calanoida,copepodid,10,0,,,,,,
as,4/13/2016,2013-045S,36,,0.1533,,5,6,0.0034,,Pseudodiaptomus forbesi,Calanoida,female,3,0.0001,,,,,,
as,4/13/2016,2013-045S,36,,0.1533,,5,6,0.0034,,Pseudodiaptomus forbesi,Calanoida,male,1,0,,,,,,
as,4/13/2016,2013-045S,36,,0.1533,,5,6,0.0034,,Acanthocyclops sp,Cyclopoida,adult,18,0.0002,,,,,,
as,4/13/2016,2013-045S,36,,0.1533,,5,6,0.0034,,Sinocalanus doerrii,Calanoida,adult,16,0.0003,,,,,,
as,4/13/2016,2013-051S,36,,0.0948,,1,1,broken,,Empty,,,,,,,,,,
as,4/12/2016,2013-057S,38,,0.1004,,1,1,broken,,Empty,,,,,,,,,,
as,4/12/2016,2013-063S,36,,0.1133,,1,1,broken,,Empty,,,,,,,,,,
as,4/12/2016,2013-069S,34,,0.1018,,2,6,broken,,Pseudodiaptomus forbesi,Calanoida,female,1,0,,,,,,
as,4/12/2016,2013-069S,34,,0.1018,,2,6,broken,,Sinocalanus doerrii,Calanoida,adult,1,0,,,,,,
as,4/13/2016,2015-011S,30,,0.0705,,3,5,broken,,Pseudodiaptomus forbesi,Calanoida,male,1,0,,,,,,
as,4/13/2016,2015-011S,30,,0.0705,,3,5,broken,,Pseudodiaptomus forbesi,Calanoida,copepodid,2,0,,,,,,
as,4/13/2016,2015-011S,30,,0.0705,,3,5,broken,,Pseudodiaptomus forbesi,Calanoida,female,1,0.0001,,,,,,
as,4/13/2016,2015-011S,30,,0.0705,,3,5,broken,,Sinocalanus doerrii,Calanoida,adult,4,0.0001,,,,,,
as,4/13/2016,2015-011S,30,,0.0705,,3,5,broken,,Eucyclops sp,Cyclopoida,adult,1,0,,,,,,
as,4/13/2016,2015-011S,30,,0.0705,,3,5,broken,,Acanthocyclops sp,Cyclopoida,adult,2,0,,,,,,
as,4/13/2016,2013-043S,35,,0.1405,,1,1,0.0035,,Empty,,,,,,,,,,
as,4/13/2016,2013-050S,32,,0.887,,4,5,0.005,,Pseudodiaptomus forbesi,Calanoida,female,31,0.0013,,,,,,
as,4/13/2016,2013-050S,32,,0.887,,4,5,0.005,,Pseudodiaptomus forbesi,Calanoida,male,8,0.0002,,,,,,
as,4/13/2016,2013-050S,32,,0.887,,4,5,0.005,,Pseudodiaptomus forbesi,Calanoida,copepodid,3,0,,,,,,
as,4/13/2016,2013-056S,34,,0.1169,,5,5,0.0058,,Pseudodiaptomus forbesi,Calanoida,female,16,0.0004,,,,,,
as,4/13/2016,2013-056S,34,,0.1169,,5,5,0.0058,,Pseudodiaptomus forbesi,Calanoida,male,37,0.0006,,,,,,
as,4/13/2016,2013-056S,34,,0.1169,,5,5,0.0058,,Pseudodiaptomus forbesi,Calanoida,copepodid,6,0.0001,,,,,,
as,4/12/2016,2013-060S,35,,0.137,,4,6,0.0055,,Pseudodiaptomus forbesi,Calanoida,female,8,0,,,,,,
as,4/12/2016,2013-060S,35,,0.137,,4,6,0.0055,,Pseudodiaptomus forbesi,Calanoida,male,3,0,,,,,,
as,4/12/2016,2013-060S,35,,0.137,,4,6,0.0055,,Pseudodiaptomus forbesi,Calanoida,copepodid,3,0,,,,,,
as,4/12/2016,2013-068S,41,,0.2256,,1,1,0.0038,,Empty,,,,,,,,,,
as,4/13/2016,2014-045S,35,,0.0945,,4,6,0.0052,,Pseudodiaptomus forbesi,Calanoida,female,19,0.0003,,,,,,
as,4/13/2016,2014-045S,35,,0.0945,,4,6,0.0052,,Pseudodiaptomus forbesi,Calanoida,male,19,0.0002,,,,,,
as,4/13/2016,2014-045S,35,,0.0945,,4,6,0.0052,,Pseudodiaptomus forbesi,Calanoida,copepodid,6,0,,,,,,
as,4/13/2016,2014-045S,35,,0.0945,,4,6,0.0052,,Sinocalanus doerrii,Calanoida,adult,2,0,,,,,,
as,4/13/2016,2013-042S,34,,0.1052,,1,1,0.0013,,Empty,,,,,,,,,,
as,4/13/2016,2013-049S,37,,0.999,,1,1,0.0012,,Empty,,,,,,,,,,
as,4/12/2016,2013-055S,39,,0.103,,1,1,broken,,Empty,,,,,,,,,,
as,4/12/2016,2013-062S,39,,0.1323,,1,1,broken,,Empty,,,,,,,,,,
as,4/12/2016,2013-067S,32,,0.1072,,3,5,0.0038,,Pseudodiaptomus forbesi,Calanoida,female,12,0.0002,,,,,,
as,4/12/2016,2013-067S,32,,0.1072,,3,5,0.0038,,Pseudodiaptomus forbesi,Calanoida,male,3,0.0001,,,,,,
as,4/12/2016,2013-067S,32,,0.1072,,3,5,0.0038,,Pseudodiaptomus forbesi,Calanoida,copepodid,3,0,,,,,,
as,4/12/2016,2013-067S,32,,0.1072,,3,5,0.0038,,Acanthocyclops sp,Cyclopoida,adult,1,0,,,,,,
as,4/13/2016,2014-044S,40,,0.2126,,4,5,0.0043,,Pseudodiaptomus forbesi,Calanoida,female,12,0,,,,,,
as,4/13/2016,2014-044S,40,,0.2126,,4,5,0.0043,,Pseudodiaptomus forbesi,Calanoida,male,12,0.0001,,,,,,
as,4/13/2016,2014-044S,40,,0.2126,,4,5,0.0043,,Pseudodiaptomus forbesi,Calanoida,copepodid,9,0,,,,,,
as,4/13/2016,2013-041S,36,,0.0992,,2,5,0.0011,,Acanthocyclops sp,Cyclopoida,adult,3,0,,,,,,
as,4/13/2016,2013-041S,36,,0.0992,,2,5,0.0011,,Eucyclops sp,Cyclopoida,adult,2,0,,,,,,
as,4/13/2016,2013-048S,30,,0.516,,1,1,broken,,Empty,,,,,,,,,,
as,4/12/2016,2013-054S,35,,0.0779,,1,1,broken,,Empty,,,,,,,,,,
as,4/12/2016,2013-061S,41,,0.2909,,2,6,0.0053,,Sinocalanus doerrii,Calanoida,adult,1,0,,,,,,
as,4/12/2016,2013-061S,41,,0.2909,,2,6,0.0053,,Pseudodiaptomus forbesi,Calanoida,female,1,0,,,,,,
as,4/12/2016,2013-061S,41,,0.2909,,2,6,0.0053,,Pseudodiaptomus forbesi,Calanoida,male,2,0,,,,,,
as,4/12/2016,2013-061S,41,,0.2909,,2,6,0.0053,,Pseudodiaptomus forbesi,Calanoida,copepodid,1,0,,,,,,
as,4/12/2016,2013-066S,39,,0.1742,,2,2,0.0022,,Pseudodiaptomus forbesi,Calanoida,female,1,0,,,,,,
as,4/12/2016,2013-066S,39,,0.1742,,2,2,0.0022,,Unidentified matter,,,,0.0004,,,,,,
as,4/13/2016,2014-043S,43,,0.3494,,3,4,0.0094,,Sinocalanus doerrii,Calanoida,adult,4,0,,,,,,
as,4/13/2016,2014-043S,43,,0.3494,,3,4,0.0094,,Pseudodiaptomus forbesi,Calanoida,female,4,0,,,,,,
as,4/13/2016,2014-043S,43,,0.3494,,3,4,0.0094,,Pseudodiaptomus forbesi,Calanoida,male,8,0.0002,,,,,,
as,4/13/2016,2014-043S,43,,0.3494,,3,4,0.0094,,Pseudodiaptomus forbesi,Calanoida,copepodid,3,0,,,,,,
as,4/13/2016,2013-040S,42,,0.1905,,1,1,broken,,Empty,,,,,,,,,,
as,4/13/2016,2013-047S,40,,0.1372,,1,1,0.0014,,Empty,,,,,,,,,,
as,4/13/2016,2013-053S,36,,0.0878,,3,6,0.0016,,Pseudodiaptomus forbesi,Calanoida,female,4,0.0001,,,,,,
as,4/13/2016,2013-053S,36,,0.0878,,3,6,0.0016,,Pseudodiaptomus forbesi,Calanoida,copepodid,1,0,,,,,,
as,4/13/2016,2013-053S,36,,0.0878,,3,6,0.0016,,Pseudodiaptomus forbesi,Calanoida,male,1,0,,,,,,
as,4/13/2016,2013-053S,36,,0.0878,,3,6,0.0016,,Eucyclops sp,Cyclopoida,adult,1,0,,,,,,
as,4/12/2016,2013-059S,37,,0.0831,,2,6,broken,,Pseudodiaptomus forbesi,Calanoida,female,2,0,,,,,,
as,4/12/2016,2013-065S,33,,0.1176,,2,6,0.0027,,Sinocalanus doerrii,Calanoida,adult,1,0.0001,,,,,,
,,,,,,,,,,,,,,,,,,,,,
as,5/6/2015,2015-006W,40,,0.1565,,6,4,0.0052,,Pseudodiaptomus forbesi,Calanoida,copepodid,13,0,,,,,,
as,5/6/2015,2015-006W,40,,0.1565,,6,4,0.0052,,Pseudodiaptomus forbesi,Calanoida,female,1,0,,,,,,
as,5/6/2015,2015-006W,40,,0.1565,,6,4,0.0052,,Cyclopoida,Cyclopoida,copepodid,10,0.0005,,,,,,
as,5/6/2015,2015-006W,40,,0.1565,,6,4,0.0052,,Bosmina longirostris,Cladocera,unidentified,60,0,,,,,,
as,5/6/2015,2015-006W,40,,0.1565,,6,4,0.0052,,Harpacticoida,Harpacticoida,unidentified,2,0,,,,,,
as,5/6/2015,2015-006W,40,,0.1565,,6,4,0.0052,,Chydoridae,Cladocera,unidentified,2,0,,,,,,
as,5/6/2015,2015-006W,40,,0.1565,,6,4,0.0052,,Harpacticoida,Harpacticoida,unidentified,1,0,,,,,,
as,5/6/2015,2015-006W,40,,0.1565,,6,4,0.0052,,Ceriodaphnia sp,Cladocera,unidentified,8,0.0001,,,,,,
as,5/6/2015,2015-006W,40,,0.1565,,6,4,0.0052,,Daphniidae,Cladocera,unidentified,6,0.0001,,,,,,
as,5/6/2015,2015-006W,40,,0.1565,,6,4,0.0052,,Unidentified matter,,,,0.0002,,,,,,
as,4/21/2015,2015-001W,33,,0.0764,,4,5,0.0031,0.0013,Pseudodiaptomus forbesi,Calanoida,copepodid,14,0,,,,,,
as,4/21/2015,2015-001W,33,,0.0764,,4,5,0.0031,0.0013,Pseudodiaptomus forbesi,Calanoida,female,1,0,,,,,,
as,4/21/2015,2015-001W,33,,0.0764,,4,5,0.0031,0.0013,Cyclopoida,Cyclopoida,copepodid,7,0,,,,,,
as,4/21/2015,2015-001W,33,,0.0764,,4,5,0.0031,0.0013,Sinocalanus doerrii,Calanoida,unidentified,2,0,,,,,,
as,4/21/2015,2015-001W,33,,0.0764,,4,5,0.0031,0.0013,Ostracoda,Ostracoda,unidentified,1,0,,,,,,
as,4/21/2015,2015-001W,33,,0.0764,,4,5,0.0031,0.0013,Ceriodaphnia sp,Cladocera,unidentified,14,0.0003,,,,,,
as,4/21/2015,2015-001W,33,,0.0764,,4,5,0.0031,0.0013,Unidentified matter,,,,0,,,,,,
as,4/21/2015,2015-002W,40,,0.164,,6,5,0.0064,0.0031,Sinocalanus doerrii,Calanoida,adult,2,0.0002,,,,,,
as,4/21/2015,2015-002W,40,,0.164,,6,5,0.0064,0.0031,Eurytemora affinis,Calanoida,copepodid,5,0,,,,,,
as,4/21/2015,2015-002W,40,,0.164,,6,5,0.0064,0.0031,Pseudodiaptomus forbesi,Calanoida,male,4,0,,,,,,
as,4/21/2015,2015-002W,40,,0.164,,6,5,0.0064,0.0031,Pseudodiaptomus forbesi,Calanoida,female,1,0,,,,,,
as,4/21/2015,2015-002W,40,,0.164,,6,5,0.0064,0.0031,Bosmina longirostris,Cladocera,unidentified,1,0,,,,,,
as,4/21/2015,2015-002W,40,,0.164,,6,5,0.0064,0.0031,Ceriodaphnia sp,Cladocera,unidentified,6,0.0001,,,,,,
as,4/21/2015,2015-002W,40,,0.164,,6,5,0.0064,0.0031,Daphnia sp,Cladocera,unidentified,11,0.0005,,,,,,
as,4/21/2015,2015-002W,40,,0.164,,6,5,0.0064,0.0031,Eurytemora affinis,Calanoida,female,1,0,,,,,,
as,4/21/2015,2015-002W,40,,0.164,,6,5,0.0064,0.0031,Eurytemora affinis,Calanoida,male,1,0,,,,,,
as,4/21/2015,2015-002W,40,,0.164,,6,5,0.0064,0.0031,Acanthocyclops sp,Cyclopoida,adult,3,0,,,,,,
as,4/21/2015,2015-002W,40,,0.164,,6,5,0.0064,0.0031,Cyclopoida,Cyclopoida,copepodid,9,0,,,,,,
as,4/21/2015,2015-002W,40,,0.164,,6,5,0.0064,0.0031,Pseudodiaptomus forbesi,Calanoida,copepodid,1,0,,,,,,
as,4/29/2015,2015-003W,40,,0.1778,,1,0,0.004,,Empty,,,,,,,,,,
as,5/5/2015,2015-004W,41,,0.2097,,1,0,0.0045,,Empty,,,,,,,,,,
as,5/6/2015,2015-005W,35,,0.1063,,5,5,0.0033,0.0019,Osteichthyes,Osteichthyes,larva,2,0.0001,,,,,,
as,5/6/2015,2015-005W,35,,0.1063,,5,5,0.0033,0.0019,Pseudodiaptomus forbesi,Calanoida,male,4,0.0002,,,,,,
as,5/6/2015,2015-005W,35,,0.1063,,5,5,0.0033,0.0019,Daphnia sp,Cladocera,unidentified,3,0.0001,,,,,,
as,5/6/2015,2015-005W,35,,0.1063,,5,5,0.0033,0.0019,Harpacticoida,Harpacticoida,unidentified,1,0,,,,,,
as,5/6/2015,2015-005W,35,,0.1063,,5,5,0.0033,0.0019,Calanoida,Calanoida,nauplius,8,0.0001,,,,,,
as,5/6/2015,2015-005W,35,,0.1063,,5,5,0.0033,0.0019,Cyclopoida,Cyclopoida,copepodid,12,0,,,,,,
as,5/6/2015,2015-005W,35,,0.1063,,5,5,0.0033,0.0019,Pseudodiaptomus forbesi,Calanoida,copepodid,8,0,,,,,,
as,5/20/2015,2015-007W,40,,0.1508,,5,4,0.0068,0.0038,Pseudodiaptomus forbesi,Calanoida,female,31,0.0007,,,,,,
as,5/20/2015,2015-007W,40,,0.1508,,5,4,0.0068,0.0038,Pseudodiaptomus forbesi,Calanoida,male,32,0.0004,,,,,,
as,5/20/2015,2015-007W,40,,0.1508,,5,4,0.0068,0.0038,Calanoida,Calanoida,copepodid,12,0.0003,,,,,,
as,5/20/2015,2015-007W,40,,0.1508,,5,4,0.0068,0.0038,Daphnia sp,Cladocera,unidentified,6,0,,,,,,
as,5/20/2015,2015-007W,40,,0.1508,,5,4,0.0068,0.0038,Laophontidae,Harpacticoida,unidentified,1,0,,,,,,
as,5/20/2015,2015-007W,40,,0.1508,,5,4,0.0068,0.0038,Harpacticoida,Harpacticoida,unidentified,1,0,,,,,,
as,5/20/2015,2015-007W,40,,0.1508,,5,4,0.0068,0.0038,Sinocalanus doerrii,Calanoida,unidentified,4,0.0001,,,,,,
as,5/2/2015,2015-011W,38,,0.1988,,1,0,,0.0037,Empty,,,,,,,,,,
as,5/2/2015,2015-008W,42,,0.244,,5,4,0.0081,0.0031,Pseudodiaptomus forbesi,Calanoida,female,43,0.0007,,,,,,
as,5/2/2015,2015-008W,42,,0.244,,5,4,0.0081,0.0031,Pseudodiaptomus forbesi,Calanoida,male,60,0.0007,,,,,,
as,5/2/2015,2015-008W,42,,0.244,,5,4,0.0081,0.0031,Pseudodiaptomus forbesi,Calanoida,copepodid,1,0,,,,,,
as,5/2/2015,2015-008W,42,,0.244,,5,4,0.0081,0.0031,Calanoida,Calanoida,copepodid,7,0.0001,,,,,,
as,5/2/2015,2015-008W,42,,0.244,,5,4,0.0081,0.0031,Eurytemora affinis,Calanoida,male,1,0,,,,,,
as,5/2/2015,2015-008W,42,,0.244,,5,4,0.0081,0.0031,Eurytemora affinis,Calanoida,copepodid,2,0,,,,,,
as,5/2/2015,2015-008W,42,,0.244,,5,4,0.0081,0.0031,Sinocalanus doerrii,Calanoida,unidentified,5,0,,,,,,
as,5/2/2015,2015-008W,42,,0.244,,5,4,0.0081,0.0031,Chironomidae,Chironomidae,larva,1,0,,,,,,
as,5/2/2015,2015-008W,42,,0.244,,5,4,0.0081,0.0031,Unidentified matter,,,,0.0002,,,,,,
as,5/21/2015,2015-010W,44,,0.2156,,5,3,0.0074,0.0032,Pseudodiaptomus forbesi,Calanoida,female,19,0.0002,,,,,,
as,5/21/2015,2015-010W,44,,0.2156,,5,3,0.0074,0.0032,Pseudodiaptomus forbesi,Calanoida,male,29,0.0003,,,,,,
as,5/21/2015,2015-010W,44,,0.2156,,5,3,0.0074,0.0032,Pseudodiaptomus forbesi,Calanoida,copepodid,3,0,,,,,,
as,5/21/2015,2015-010W,44,,0.2156,,5,3,0.0074,0.0032,Calanoida,Calanoida,copepodid,26,0.0002,,,,,,
as,5/21/2015,2015-010W,44,,0.2156,,5,3,0.0074,0.0032,Sinocalanus doerrii,Calanoida,unidentified,1,0,,,,,,
as,5/21/2015,2015-010W,44,,0.2156,,5,3,0.0074,0.0032,Harpacticoida,Harpacticoida,unidentified,1,0,,,,,,
as,5/21/2015,2015-010W,44,,0.2156,,5,3,0.0074,0.0032,Daphniidae,Cladocera,unidentified,10,0,,,,,,
as,5/21/2015,2015-010W,44,,0.2156,,5,3,0.0074,0.0032,Unidentified matter,,,,0.0003,,,,,,
as,5/28/2015,2015-012W,46,,0.2775,,3,5,0.0062,0.0042,Pseudodiaptomus forbesi,Calanoida,female,9,0,,,,,,
as,5/28/2015,2015-012W,46,,0.2775,,3,5,0.0062,0.0042,Pseudodiaptomus forbesi,Calanoida,male,11,0,,,,,,
as,5/28/2015,2015-012W,46,,0.2775,,3,5,0.0062,0.0042,Pseudodiaptomus forbesi,Calanoida,copepodid,3,0,,,,,,
as,5/28/2015,2015-012W,46,,0.2775,,3,5,0.0062,0.0042,Sinocalanus doerrii,Calanoida,adult,5,0,,,,,,
as,5/28/2015,2015-012W,46,,0.2775,,3,5,0.0062,0.0042,Calanoida,Calanoida,copepodid,17,0,,,,,,
as,5/29/2015,2015-013W,40,,0.1837,,4,5,0.0059,0.0031,Pseudodiaptomus forbesi,Calanoida,female,41,0.0004,,,,,,
as,5/29/2015,2015-013W,40,,0.1837,,4,5,0.0059,0.0031,Pseudodiaptomus forbesi,Calanoida,male,27,0.0003,,,,,,
as,5/29/2015,2015-013W,40,,0.1837,,4,5,0.0059,0.0031,Pseudodiaptomus forbesi,Calanoida,copepodid,5,0,,,,,,
as,5/29/2015,2015-013W,40,,0.1837,,4,5,0.0059,0.0031,Calanoida,Calanoida,copepodid,17,0.0001,,,,,,
as,5/29/2015,2015-014W,47,,0.3337,,1,,0.0072,,Empty,,,,,,,,,,
as,6/2/2015,2015-015W,42,,0.2123,,3,4,0.0082,0.0038,Pseudodiaptomus forbesi,Calanoida,female,10,0,,,,,,
as,6/2/2015,2015-015W,42,,0.2123,,3,4,0.0082,0.0038,Pseudodiaptomus forbesi,Calanoida,male,51,0.007,,,,,,
as,6/2/2015,2015-015W,42,,0.2123,,3,4,0.0082,0.0038,Daphniidae,Cladocera,unidentified,1,0,,,,,,
as,6/2/2015,2015-015W,42,,0.2123,,3,4,0.0082,0.0038,Sinocalanus doerrii,Calanoida,unidentified,1,0,,,,,,
as,6/2/2015,2015-015W,42,,0.2123,,3,4,0.0082,0.0038,Unidentified matter,,,,0,,,,,,
as,6/2/2015,2015-015W,42,,0.2123,,3,4,0.0082,0.0038,Calanoida,Calanoida,copepodid,37,0.0004,,,,,,
as,6/2/2015,2015-016W,53,,0.4688,,5,4,0.0127,0.0077,Pseudodiaptomus forbesi,Calanoida,female,34,0.0005,,,,,,
as,6/2/2015,2015-016W,53,,0.4688,,5,4,0.0127,0.0077,Pseudodiaptomus forbesi,Calanoida,male,21,0,,,,,,
as,6/2/2015,2015-016W,53,,0.4688,,5,4,0.0127,0.0077,Daphniidae,Cladocera,unidentified,5,0,,,,,,
as,6/2/2015,2015-016W,53,,0.4688,,5,4,0.0127,0.0077,Calanoida,Calanoida,copepodid,19,0.0002,,,,,,
as,6/2/2015,2015-016W,53,,0.4688,,5,4,0.0127,0.0077,Gastropoda,Gastropoda,larva,4,0,,,,,,
as,6/2/2015,2015-016W,53,,0.4688,,5,4,0.0127,0.0077,Unidentified matter,,,,0,,,,,,
as,6/4/2015,2015-017W,48,,0.404,,1,,0.0079,,Empty,,,,,,,,,,
as,5/31/2015,2015-003W,51,,0.3859,,1,,0.0094,,Empty,,,,,,,,,,
as,5/31/2015,2015-004W,43,,0.2453,,1,,0.0065,,Empty,,,,,,,,,,
as,5/31/2013,2013-005W,50,,0.431,,2,6,0.0093,,Americorophium stimpsoni,Amphipoda,unidentified,1,0.0003,,,,,,
as,6/4/2013,2013-006W,43,,0.215,,1,,0.0036,,Empty,,,,,,,,,,
as,6/4/2013,2013-007W,40,,0.1779,,3,6,0.0054,0.0028,Pseudodiaptomus forbesi,Calanoida,female,16,0.0004,,,,,,
as,6/4/2013,2013-007W,40,,0.1779,,3,6,0.0054,0.0028,Pseudodiaptomus forbesi,Calanoida,male,4,0,,,,,,
as,6/4/2013,2013-008W,37,,0.1695,,2,4,0.0041,0.0029,Pseudodiaptomus forbesi,Calanoida,female,3,0,,,,,,
as,6/4/2013,2013-008W,37,,0.1695,,2,4,0.0041,0.0029,Pseudodiaptomus forbesi,Calanoida,male,4,0,,,,,,
as,6/4/2013,2013-008W,37,,0.1695,,2,4,0.0041,0.0029,Pseudodiaptomus forbesi,Calanoida,copepodid,3,0,,,,,,
as,6/11/2013,2013-009W,34,,0.0636,,2,5,broken,0.002,Pseudodiaptomus forbesi,Calanoida,female,6,0.0001,,,,,,
as,6/11/2013,2013-009W,34,,0.0636,,2,5,broken,0.002,Pseudodiaptomus forbesi,Calanoida,male,23,0,,,,,,
as,6/11/2013,2013-009W,34,,0.0636,,2,5,broken,0.002,Pseudodiaptomus forbesi,Calanoida,copepodid,6,0,,,,,,
as,6/11/2013,2013-010W,40,,0.1902,,6,5,0.009,0.0068,Pseudodiaptomus forbesi,Calanoida,female,31,0.0008,,,,,,
as,6/11/2013,2013-010W,40,,0.1902,,6,5,0.009,0.0068,Pseudodiaptomus forbesi,Calanoida,male,90,0.0014,,,,,,
as,6/11/2013,2013-010W,40,,0.1902,,6,5,0.009,0.0068,Pseudodiaptomus forbesi,Calanoida,copepodid,23,0,,,,,,
as,6/11/2013,2013-010W,40,,0.1902,,6,5,0.009,0.0068,Unidentified matter,,,,0.0001,,,,,,
as,6/19/2013,2013-011W,51,,0.4509,,3,5,0.01,0.0068,Pseudodiaptomus forbesi,Calanoida,female,17,0.0004,,,,,,
as,6/19/2013,2013-011W,51,,0.4509,,3,5,0.01,0.0068,Pseudodiaptomus forbesi,Calanoida,male,19,0.0003,,,,,,
as,6/19/2013,2013-011W,51,,0.4509,,3,5,0.01,0.0068,Pseudodiaptomus forbesi,Calanoida,copepodid,3,0.0002,,,,,,
